Title,Document Name,Ark Identifier,July,August,September,Total
"Swank, Roy Laver Papers",ohs_1998-009-converted.xml,80444/xv01586,14,49,43,106
"Rose (Robert Leon) Papers",ohs2005_026.xml,80444/xv76967,33,33,14,80
"Davis Phillips , Lucy I. Collection: The Study of Women Graduates of the University of Oregon Medical School and Willamette University",ohs2004030.xml,80444/xv06799,19,19,12,50
"Oregon State Tuberculosis Hospital Collection",ohs_2000-001-converted.xml,80444/xv26974,10,17,10,37
"French, Elizabeth Curtis Papers",ohs2006_004.xml,80444/xv10966,10,14,11,35
"Esther Pohl Lovejoy Papers",ohs_2001-004-converted.xml,80444/xv77206,13,11,9,33
"Esther Pohl Lovejoy Papers",ohs_2001-011-converted.xml,80444/xv77325,12,15,6,33
"Sears, Harry J.Public Health Survey Records",ohs2004025.xml,80444/xv98391,14,10,6,30
"Chamberlain,George E. Papers",ohs_1998-004-converted.xml,80444/xv82290,13,2,12,27
"Oregon Graduate Institute Records",ohs_2011-012-converted.xml,80444/xv82217,12,4,7,23
"UOMS/OHSU Library Records",ohs_1998-015-converted.xml,80444/xv26721,8,11,4,23
"46th General Hospital Papers",ohs_2001-001-converted.xml,80444/xv44158,7,8,7,22
"Edwin E. Osgood Collection",ohs_2001-006-converted.xml,80444/xv07135,13,5,1,19
"Charles F. Norris Photograph Album",ohs_2000-007-converted.xml,80444/xv88677,8,5,5,18
"West, Edward Staunton Portrait",ohs_2006-006.xml,80444/xv53326,15,2,0,17
"Swan, Kenneth C. Papers",ohs_2007-011-converted.xml,80444/xv11325,3,7,7,17
"Stewart, Alice M. Papers",ohs2003002.xml,80444/xv67672,7,3,5,15
"University of Oregon Medical School Minutes",ohs_1999-003-converted.xml,80444/xv19729,5,4,5,14
"Hurlburt, Naida F. Hoffman Papers",ohs_2003-004-converted.xml,80444/xv80282,0,4,10,14
"Judkins,Melvin Paul Papers",ohs_2005-022-converted.xml,80444/xv09548,7,1,5,13
"Oregon Dietetics Internship Program Collection",ohs2006_007.xml,80444/xv44138,6,5,2,13
"Beck, James Hawthorne Collection on Simeon E. Josephi and James C. Hawthorne",ohs2000004.xml,80444/xv42526,2,5,6,13
"Raymond E. Watkins Papers",ohs_2002-003-converted.xml,80444/xv65444,3,3,7,13
"Dubay, Christopher J. Collection on the Biomedical Information Communication Center",ohs_2007-012-converted.xml,80444/xv65771,2,5,5,12
"School of Nursing Archives Collection",ohs_2014-009-converted.xml,80444/xv92864,1,8,3,12
"Educational Communications Image Collection",ohs_2015-030-converted.xml,80444/xv18640,8,0,4,12
"Colonel Strohm's Nurses Photograph Album",ohs_2000-006-converted.xml,80444/xv41363,3,5,3,11
"Birth Home, Inc. Records",ohsu_2014-011.xml,80444/xv16937,6,2,3,11
"Oregon Health Sciences University Hospital Control Records",ohs_2006-003.xml,80444/xv71102,9,2,0,11
"School of Dentistry Image Collection",ohs_2010-025-converted.xml,80444/xv90618,3,3,5,11
"Carter, Charles Conrad Papers",ohs_1999-012-converted.xml,80444/xv49984,9,2,0,11
"University of Oregon Medical School Business Office Records",ohs_1999-007-converted.xml,80444/xv78735,4,1,6,11
"Hafner, Helen and Paul Collection",ohs_2015-026-converted.xml,80444/xv73870,4,6,0,10
"Bettman, Adalbert G. Papers",ohs_2001-013-converted.xml,80444/xv07315,3,7,0,10
"Frederick A. Kiehle Slide Collection",ohs_2001-007-converted.xml,80444/xv30435,9,0,0,9
"Miller, Herbert C. Papers",ohs_2010-010-convertedx.xml,80444/xv95529,1,5,3,9
"Nurse-Midwifery Program Image Collection",ohs_2015-009-converted.xml,80444/xv88500,4,2,3,9
"Physicians for Social Responsibility Records",ohs_2010-007-converted.xml,80444/xv19140,3,2,4,9
"Ambrose, Robert Pharmacy Collection",ohs_2015-022-converted.xml,80444/xv66464,8,0,1,9
"King, George W. Scrapbook Collection",ohs2005008.xml,80444/xv33615,7,0,2,9
"Baker, James A. Collection",ohs_2005-005-converted.xml,80444/xv57998,6,2,1,9
"Record of Deaths Collection",ohs_2001-010-converted.xml,80444/xv83724,9,0,0,9
"Smith, Charles J. Papers",ohs_2007-006-converted.xml,80444/xv11486,3,4,1,8
"University of Oregon Medical School Alumni Association Records",ohs_2004-015-converted.xml,80444/xv13867,1,6,1,8
"Van Zile, Wilbur Nelson Papers",ohs_2009-019-converted.xml,80444/xv85601,5,2,1,8
"Besson, John H. Collection on Arthur, Mortimer and Raymond Sackler Manuscripts",ohs_2009-006-converted.xml,80444/xv73266,1,5,2,8
"Olaf Larsell Papers",ohs_1999-011-converted.xml,80444/xv43682,6,2,0,8
"Donaldson, Eleanor Papers",ohs_2008-020-converted.xml,80444/xv47189,5,0,3,8
