Title,Document Name,Ark Identifier,July,August,September,Total
"Wood (Charles Erskine Scott) and Erskine Wood Family Papers",olpb008woo.xml,80444/xv24292,41,63,57,161
"Stafford (William E.) Archives, Series 1, Sub-Series 3: Documentary Copies of Poems",olpb102sta.xml,80444/xv38864,55,55,30,140
"Ralston Family Collection",olpb142ral.xml,80444/xv22479,38,46,35,119
"Stafford (William E.) Archives, Series 3, Sub-Series 1: General Correspondence",olpb096sta.xml,80444/xv88964,36,30,27,93
"Sheets (Louis Kermit) Collection",olpb006she.xml,80444/xv16773,18,15,53,86
"Albany College (Oregon) Photograph Collection",olpa005alb.xml,80444/xv03429,23,26,19,68
"Nomland (Kemper) Collection",olpb013nom.xml,80444/xv58841,10,22,32,64
"Stafford (William E.) Archives Series 5, Sub-Series 2: Audio Recordings of William Stafford",olpb112sta.xml,80444/xv44949,26,13,24,63
"Poetry Broadside Collection",olpb148bro.xml,80444/xv86520,31,11,17,59
"Ward, Jean M. Collection",olpb160war.xml,80444/xv63909,18,15,21,54
"Stafford (William E.) Archives Series 1, Sub-Series 5: Writings for Public Readings and Workshops",olpb115sta.xml,80444/xv45950,13,20,20,53
"YMCA (Portland, OR) Archives",olpb048ymc.xml,80444/xv26528,13,19,16,48
"Young Women's Christian Association (YWCA) of Portland, Oregon Papers",olpb009ywc.xml,80444/xv57126,10,19,17,46
"Stafford (William E.) Archives",olpb037sta.xml,80444/xv83782,10,23,12,45
"Stafford (William E.) Archives, Series 1, Sub-Series 1: Daily Writing Drafts",olpb103sta.xml,80444/xv29632,19,19,6,44
"Sleeth Family Collection",olpb047sle.xml,80444/xv41986,21,15,6,42
"Pascal, Ernest screenplay",olpb010lew.xml,80444/xv89956,9,4,26,39
"Paper Crane Press Collection",olpb131pap.xml,80444/xv13198,17,8,12,37
"Stafford (William E.) Archives Series 8, Sub-Series 5: Translations of Stafford",olpb116sta.xml,80444/xv83508,17,6,14,37
"Thayer (Lewis and Rachel) Collection",olpb133tha.xml,80444/xv87728,12,18,7,37
"Johnson (Kenneth E.) Collection",olpb032joh.xml,80444/xv55599,11,19,7,37
"Coues-Anderson Manuscript",olpb017cou.xml,80444/xv15064,10,12,12,34
"Blocher (Henry and Mary) Collection",olpb016blo.xml,80444/xv61234,3,13,17,33
"Stafford (William E.) Archives, Series 4, Sub-Series 2: Prints of Photographs by William Stafford",olpb099sta.xml,80444/xv15338,16,9,7,32
"Rutsala, (Vern) Papers",olpb002rut.xml,80444/xv05139,9,7,14,30
"Nazi Germany Propaganda Collection",olpb089naz.xml,80444/xv71340,9,8,10,27
"Stafford (William E.) Archives Series 5, Sub-Series 3: Musical Settings to William Stafford Poetry",olpb113sta.xml,80444/xv87835,11,7,9,27
"Stafford (William E.) Archives Series 8, Sub-Series 1: Books by Stafford in English",olpb097sta.xml,80444/xv69702,13,11,2,26
"Civilian Public Service Camp Newsletter Collection",olpb020cps.xml,80444/xv13354,4,5,17,26
"Oregon Ephemera Collection",olpb090ore.xml,80444/xv05252,7,7,10,24
"Stafford (William E.) Archives, Series 1, Sub-Series 4: Prose Drafts",olpb104sta.xml,80444/xv96258,9,8,7,24
"Marlantes (Karl) Papers",olpb094mar.xml,80444/xv53240,0,7,17,24
"Thompson (Dr. Mary) Diary",olpb003tho.xml,80444/xv39681,8,5,8,21
"Stafford (William E.) Archives, Series 4, Sub-Series 3: Stafford Family Photographs",olpb100sta.xml,80444/xv18041,9,6,6,21
"Impossibilists Publications Collection",olpb030imp.xml,80444/xv53915,14,3,3,20
