Title,Document Name,Ark Identifier,July,August,September,Total
"Hansen (Anne Schmidt) Oral History Interview",opvt251.xml,80444/xv64641,72,92,52,216
"Hansen (Hans Peter) Oral History Interview",opvt051.xml,80444/xv09920,69,89,39,197
"Rasmussen (Martin) Oral History Interview",opvt098-099.xml,80444/xv57800,78,62,36,176
"Rygmyr (Odlaug Hasløy) Oral History Interview",opvt002.xml,80444/xv63614,14,12,120,146
"Tynes (Jens) Oral History Interview",opvt263.xml,80444/xv25311,19,27,87,133
"Foss (Hjarne) Oral History Interview",opvt194.xml,80444/xv52329,26,34,64,124
"Tveter (Hans Jacobsen) Oral History Interview",opvt054.xml,80444/xv08210,43,46,34,123
"Blindheim (Ole Andreas Rasmussen) Oral History Interview",opvt236-237.xml,80444/xv36596,40,48,31,119
"Olsen (Hilda Maria) Oral History Interview",opvt018.xml,80444/xv22575,38,50,23,111
"Ekrem (Anna Georgina Hansen) Oral History Interview",opvt140-141.xml,80444/xv09236,23,50,29,102
"Andersen (Sigrid Marie) Oral History Interview",opvt003.xml,80444/xv96446,34,37,23,94
"Erickson (Selma Inez) Oral History Interview",opvt035-036.xml,80444/xv16076,31,30,30,91
"Gilje (Bertel Pedersen) Oral History Interview",opvt181.xml,80444/xv25995,23,42,19,84
"Storm (Anne Kristine Olsen) Oral History Interview",opvt163.xml,80444/xv66693,26,28,25,79
"Nygaard (Lars Thomas) Oral History Interview",opvt158.xml,80444/xv68403,31,30,18,79
"Johnson, Andrew (Anders Johansson) Oral History Interview",opvt206-207.xml,80444/xv82083,29,30,19,78
"Apalseth (Ida Pauline) Oral History Interview",opvt182.xml,80444/xv58828,29,26,22,77
"Anderson (Inga Karolina Olivia Jensdatter Hole) Oral History Interview",opvt052.xml,80444/xv42752,26,22,29,77
"Riebe (Dagmar Elisabeth Lorentsen) Oral History Interview",opvt118.xml,80444/xv17103,26,26,24,76
"Tobiason (Anna Mykelbust) Oral History Interview",opvt116-117.xml,80444/xv84477,26,16,33,75
"Lovestrand, Astrid Maria Rehn Oral History Interview",opvt254.xml,80444/xv62932,24,14,36,74
"Johnson, Bertil Edward Oral History Interview",opvt043.xml,80444/xv80372,31,26,16,73
"Hopen (Anna Malena) Oral History Interview",opvt113.xml,80444/xv86186,25,15,32,72
"Lina Dahl (Stakset) Oral History Interview",opvt106.xml,80444/xv89265,27,24,20,71
"Isaksen (Olive Margrethe Torgerson) Oral History",opvt027.xml,80444/xv85160,26,20,24,70
"Ohrt (Sigfrid Eidsness) Oral History Interview",opvt258.xml,80444/xv94395,28,18,24,70
"Fet (Peter Laurits) Oral History Interview",opvt264.xml,80444/xv58143,24,29,15,68
"Stuen (Agnes Christine Theodora Hougen) Oral History Interview",opvt034-042.xml,80444/xv83450,23,23,22,68
"Madsen (Frederik Christensen) Oral History Interview",opvt196-197.xml,80444/xv85503,25,26,16,67
"Akre (Elvin Martin) Oral History Interview",opvt044.xml,80444/xv12998,26,20,21,67
"Varney (Emma Mehus) Oral History Interview",opvt059.xml,80444/xv39332,22,21,23,66
"Haug (Olga Karoline Nilsen) Oral History",opvt200.xml,80444/xv50961,25,22,18,65
"Strom (Ralph) Oral History Interview",opvt167.xml,80444/xv98157,20,22,22,64
"Laursen (Anna Johanna Kristina ) Oral History Interview",opvt010.xml,80444/xv25652,22,20,21,63
"Fahl (Hans Johan Fredrik) Oral History Interview Interview",opvt253.xml,80444/xv30099,26,21,16,63
"Peterson (Hans Marius) Oral History Interview",opvt151.xml,80444/xv71823,24,18,21,63
"Nelson (John Edwin) Oral History Interview",opvt067.xml,80444/xv36255,28,19,16,63
"Nielsen (Einer ) Oral History Interview",opvt189.xml,80444/xv88581,27,18,18,63
"Berg, Carl Albin Oral History Interview",opvt171.xml,80444/xv29073,23,22,17,62
"Knudsen (Johanne) Oral History Interview",opvt201.xml,80444/xv83793,21,18,23,62
"Nilsen (Esther Alfrida Lund) Oral History Interview",opvt133.xml,80444/xv12315,26,21,14,61
"Magnusson (Jon and Gudrun) Oral History Interview",opvt202.xml,80444/xv16419,27,16,17,60
"Mork (Ola Martinus) Oral History Interview",opvt282.xml,80444/xv50276,26,16,18,60
"Lillelien (Thor) Oral History Interview",opvt252.xml,80444/xv97473,27,20,13,60
"Aamot (Sigurda Haug) Oral History Interview",opvt078.xml,80444/xv33176,26,17,16,59
"Johnson (Anna Elvira Granlund) Oral History Interview",opvt104.xml,80444/xv23601,22,21,16,59
"Astrid Aase (Astrid Aase) Oral History Interview",opvt260.xml,80444/xv59853,18,19,22,59
"Johnson, Ellen Katarina Eriksson Oral History Interview",opvt025.xml,80444/xv19496,23,21,15,59
"Sortland (Svanhild Johanne Knutsen) Oral History Interview",opvt126.xml,80444/xv81399,18,23,18,59
"Borresen (Wilhelmina Strom) Oral History Interview",opvt220.xml,80444/xv77295,21,19,18,58
"DeRosa (Bergliot Moxness Oliver) Oral History Interview",opvt102-103.xml,80444/xv90974,21,20,17,58
"Sivertson (Olaf) Oral History Interview",opvt063-069.xml,80444/xv37964,26,16,16,58
"Loe (Otto Calvin) Oral History",opvt154.xml,80444/xv70113,23,16,18,57
"Ramstad (Anders William) Oral History Interview",opvt047.xml,80444/xv11288,21,15,21,57
"Foss (Laura Madsen Christianson) Oral History Interview",opvt193.xml,80444/xv19497,22,18,16,56
"Løvoll (Alf Lowell) Oral History Interview",opvt259.xml,80444/xv27020,18,19,19,56
"St. Paul Lutheran Church, Cut Bank, Montana, Records",opvelca7a3_78.xml,80444/xv50308,9,23,24,56
"Hansen (Sylvia Rasmussen) Oral History Interview",opvt248.xml,80444/xv99183,24,14,18,56
"Dahl (Louise (Malla) Amilia Sinland) Oral History Interview",opvt041.xml,80444/xv47540,18,22,16,56
"Larson, Hildur Johansson Oral History Interview",opvt019.xml,80444/xv55406,20,16,20,56
"Langvard (Andreas (Andy) Olia) Oral History Interview",opvt144-145.xml,80444/xv07527,23,17,16,56
"Fredrickson, Sven Fredrick Oral History Interview",opvt119.xml,80444/xv49936,22,16,17,55
