Title,Document Name,Ark Identifier,July,August,September,Total
"Folk Art of the Oregon Country project records",orflr_ofa79.xml,80444/xv11373,43,40,29,112
"Roberts (Jennifer) Student Folklore Fieldwork Project",orflr_1990_003.xml,80444/xv86486,11,26,39,76
"Gates (Charlene) Student Folklore Fieldwork Project",orflr_1974_061.xml,80444/xv01806,16,12,8,36
"Arnould (Marie) Student Folklore Fieldwork Project",orflr_1990_001.xml,80444/xv43319,6,8,17,31
"Abrams (Elizabeth) Student Folklore Fieldwork Project",orflr_1976_021.xml,80444/xv80117,6,9,9,24
"Student Folklore Fieldwork Project",orflr_1973_125.xml,80444/xv45941,0,16,8,24
"Lakin (Mary Ann) Student Folklore Fieldwork Project",orflr_1993_002.xml,80444/xv91552,4,16,3,23
"Student Folklore Fieldwork Project",orflr_1971_383.xml,80444/xv14324,9,9,4,22
"Gomez (Ingrid) Student Folklore Fieldwork Project",orflr_2010_001.xml,80444/xv29031,2,13,6,21
"Pharris (Kristen L.) Student Folklore Fieldwork Project",orflr_1974_047.xml,80444/xv84805,15,2,4,21
"Student Folklore Fieldwork Project",orflr_1973_256.xml,80444/xv04559,12,7,1,20
"McFarland (Carol) Student Folklore Fieldwork Project",orflr_1981_028.xml,80444/xv37094,12,3,4,19
"Bittner (Julia) Student Folklore Fieldwork Project",orflr_2012_021.xml,80444/xv82888,4,10,4,18
"Roberts (Martha) Student Folklore Fieldwork Project",orflr_1979_039.xml,80444/xv18899,11,6,0,17
"Cellars (Connie) Student Folklore Fieldwork Project",orflr_1975_007.xml,80444/xv87176,5,6,4,15
"Attebery (Bobby) Student Folklore Fieldwork Project",orflr_1971_011.xml,80444/xv80853,13,1,1,15
"Llewellyn (Diane) Student Folklore Fieldwork Project",orflr_1972_129.xml,80444/xv92623,13,2,0,15
"Mauritz (Anita) Student Folklore Fieldwork Project",orflr_1974_031.xml,80444/xv52508,0,8,7,15
"Sengebau (Helen M.) Student Folklore Fieldwork Project",orflr_1980_040.xml,80444/xv34155,5,2,8,15
"Chavez (Pilar) Student Folklore Fieldwork Project",orflr_2012_033.xml,80444/xv91894,5,9,1,15
"Rea (Bonnie Jean) Student Folklore Fieldwork Project",orflr_1993_032.xml,80444/xv08752,11,0,4,15
"Merge (Steve) Student Folklore Fieldwork Project",orflr_1972_192.xml,80444/xv31909,4,4,6,14
"Cover (Ann) Student Folklore Fieldwork Project",orflr_1972_187.xml,80444/xv01757,11,0,3,14
"Harsh (Katie) Student Folklore Fieldwork Project",orflr_2010_018.xml,80444/xv65267,10,0,4,14
"Hoffnagle (John) Student Folklore Fieldwork Project",orflr_1974_003.xml,80444/xv89926,11,1,2,14
"Ramos (Rochelle) Student Folklore Fieldwork Project",orflr_1984_034.xml,80444/xv54589,7,3,4,14
"Jackson (Jeanette) Student Folklore Fieldwork Project",orflr_1972_120.xml,80444/xv78427,10,0,4,14
"Wilmot (Margaret) Student Folklore Fieldwork Project",orflr_1972_158.xml,80444/xv90002,3,9,2,14
"Nisbet (Robert A.) Student Folklore Fieldwork Project",orflr_1986_031.xml,80444/xv67431,8,6,0,14
"Student Folklore Fieldwork Project",orflr_1973_180.xml,80444/xv47192,10,0,4,14
"Slottee (Barbara) Student Folklore Fieldwork Project",orflr_1971_266.xml,80444/xv76666,0,5,9,14
"Bigham (Vange) Student Folklore Fieldwork Project",orflr_1988_003.xml,80444/xv12432,8,0,5,13
"Arabian (Gary) Student Folklore Fieldwork Project",orflr_1974_053.xml,80444/xv34176,8,2,3,13
"Sullivan (Terry D.) Student Folklore Fieldwork Project",orflr_1977_129.xml,80444/xv48031,8,0,5,13
"Yamate (Karen) Student Folklore Fieldwork Project",orflr_1974_305.xml,80444/xv45996,4,3,6,13
"Cetto (Michael) Student Folklore Fieldwork Project",orflr_1977_023.xml,80444/xv08108,4,5,4,13
"Smith (Tom E.) Student Folklore Fieldwork Project",orflr_1974_097.xml,80444/xv43887,9,0,4,13
"Strobel (Laura) Student Folklore Fieldwork Project",orflr_1999_002.xml,80444/xv48587,13,0,0,13
"Rice (Debora) Student Folklore Fieldwork Project",orflr_1976_011.xml,80444/xv26809,11,1,1,13
"Berg (Elaine) Student Folklore Fieldwork Project",orflr_1972_021.xml,80444/xv80227,9,4,0,13
"Alanis (Maria L.) Student Folklore Fieldwork Project",orflr_1974_111.xml,80444/xv84835,10,3,0,13
"Student Folklore Fieldwork Project",orflr_1973_348.xml,80444/xv05697,5,5,3,13
"Fenner (Lisa) Student Folklore Fieldwork Project",orflr_1982_124.xml,80444/xv27865,8,1,4,13
"Harding (Alyson) Student Folklore Fieldwork Project",orflr_2002_019.xml,80444/xv03176,1,5,7,13
"Carney (Christine M.) Student Folklore Fieldwork Project",orflr_1975_082.xml,80444/xv67892,12,0,0,12
"Armstrong (Margaret) Student Folklore Fieldwork Project",orflr_1970_099.xml,80444/xv58447,12,0,0,12
"Student Folklore Fieldwork Project",orflr_1973_316.xml,80444/xv57223,8,0,4,12
"Redpath (Carol) Student Folklore Fieldwork Project",orflr_1970_113.xml,80444/xv35049,9,3,0,12
"Student Folklore Fieldwork Project",orflr_1971_399.xml,80444/xv82299,8,4,0,12
"Lindsley (Wm.) Student Folklore Fieldwork Project",orflr_1986_027.xml,80444/xv94259,6,0,6,12
"Hitt (Christine) Student Folklore Fieldwork Project",orflr_1974_045.xml,80444/xv74630,10,0,2,12
"Anonymous Student Folklore Fieldwork Project",orflr_1969_056.xml,80444/xv91735,9,2,1,12
"Bauman (Mary) Student Folklore Fieldwork Project",orflr_1972_095.xml,80444/xv67840,3,4,5,12
"Spitzer (Sanferd) Student Folklore Fieldwork Project",orflr_1977_053.xml,80444/xv30752,5,0,7,12
"Wong (Abraham) Student Folklore Fieldwork Project",orflr_2003_023.xml,80444/xv78015,2,5,5,12
"Kao (Po-Hsin) Student Folklore Fieldwork Project",orflr_2012_087.xml,80444/xv71856,8,4,0,12
"Boyesen (Barbara) Student Folklore Fieldwork Project",orflr_1972_101.xml,80444/xv43167,9,0,3,12
"Pennell (Summer) Student Folklore Fieldwork Project",orflr_2008_045.xml,80444/xv54846,2,4,6,12
"Limbert (Patrick) Student Folklore Fieldwork Project",orflr_2006_036.xml,80444/xv57107,9,0,3,12
"Otto (Natalie) Student Folklore Fieldwork Project",orflr_2011_029.xml,80444/xv19866,5,5,1,11
"Erickson (Laura Jo) Student Folklore Fieldwork Project",orflr_1982_108.xml,80444/xv68273,8,1,2,11
"Gonzalez (Corina) Student Folklore Fieldwork Project",orflr_2008_195.xml,80444/xv82336,6,3,2,11
"Strobel (Laura) Student Folklore Fieldwork Project",orflr_1997_002.xml,80444/xv13583,0,4,7,11
"Turner (Maura) Student Folklore Fieldwork Project",orflr_2011_038.xml,80444/xv63226,10,1,0,11
"Hemphill (Carol) Student Folklore Fieldwork Project",orflr_1971_205.xml,80444/xv85568,5,1,5,11
"Novak (Judith) Student Folklore Fieldwork Project",orflr_1970_166.xml,80444/xv34317,1,1,9,11
"Johnson (Keith G.) Student Folklore Fieldwork Project",orflr_1977_144.xml,80444/xv56155,10,0,1,11
"Chambers (Lee) Student Folklore Fieldwork Project",orflr_1976_116.xml,80444/xv99597,11,0,0,11
"Erikson (Lois) Student Folklore Fieldwork Project",orflr_1973_037.xml,80444/xv39916,6,1,4,11
"Abrams (Joan) Student Folklore Fieldwork Project",orflr_1972_086.xml,80444/xv89544,5,2,4,11
"Student Folklore Fieldwork Project",orflr_1971_400.xml,80444/xv35083,8,3,0,11
"Anonymous Student Folklore Fieldwork Project",orflr_1971_005.xml,80444/xv32025,3,2,6,11
"Erickson (Mary) Student Folklore Fieldwork Project",orflr_2008_103.xml,80444/xv87841,11,0,0,11
