Title,Document Name,Ark Identifier,July,August,September,Total
"White (Anne Terry) Papers",oru_ax468.xml,80444/xv97488,418,136,51,605
"McGraw (Eloise and William) Papers",oru_ax243.xml,80444/xv20868,40,282,192,514
"Sundeleaf (Richard) papers and architectural records",oru_coll196.xml,80444/xv47212,156,98,155,409
"Oregon Folklife Program Records",oru_coll378.xml,80444/xv68731,85,197,96,378
"Woodman (Ruth Cornwall) Papers",oru_ax690.xml,80444/xv04796,104,145,103,352
"Hoedads Cooperative Inc. records",oru_coll322.xml,80444/xv54919,28,273,51,352
"Jackson County, Oregon Records",oru_bx067.xml,80444/xv16766,56,175,96,327
"University Archives photographs",oru_uaref3.xml,80444/xv36846,39,226,38,303
"Archibald (Joseph) papers",oru_a215.xml,80444/xv88927,23,255,20,298
"Morse (Wayne L.) papers",oru_coll001.xml,80444/xv42426,63,128,106,297
"Williams (Jean) papers",oru_ax387.xml,80444/xv92852,96,93,106,295
"Bowerman (Bill) Papers",oru_ua003.xml,80444/xv98511,77,75,132,284
"Office of the President: Prince Lucien Campbell records",oru_ua001_004.xml,80444/xv51675,27,26,190,243
"Del Valle (Pedro) papers",oru_coll126.xml,80444/xv35240,46,99,97,242
"Duniway (Abigail Scott) Papers",oru_coll232b.xml,80444/xv63619,47,65,129,241
"Chambreau (Edward) Collection",oru_coll056.xml,80444/xv73195,77,88,75,240
"Rey (H.A.) Papers",oru_ax828.xml,80444/xv65672,62,76,89,227
"Corinne (Tee A.) Papers",oru_coll263.xml,80444/xv98508,61,65,93,219
"Cox (William R.) papers",oru_coll032.xml,80444/xv74564,43,49,127,219
"Cayuse, Yakima, and Rogue River Wars Papers",oru_bx047.xml,80444/xv85849,39,62,114,215
"Fox (Gardner) literary manuscripts, comic books and other material",oru_coll008.xml,80444/xv29623,40,75,75,190
"Gearhart (Sally Miller) Papers",oru_coll305.xml,80444/xv81757,33,66,90,189
"Southwest Oregon Research Project (SWORP) Collection",oru_coll268.xml,80444/xv14723,58,64,65,187
"Lord & Schryver architectural records",oru_coll098.xml,80444/xv36943,42,44,94,180
"Russ (Joanna) Papers",oru_coll261.xml,80444/xv52000,30,46,102,178
"Amoss (Ulius L.) papers",oru_coll005.xml,80444/xv35579,40,26,105,171
"Behn (Harry) Papers",oru_ax420.xml,80444/xv12322,54,53,59,166
"Bowman (Walter S.) photographs",oru_ph004.xml,80444/xv78677,42,44,79,165
"Megler (A. J. and Joseph G.) legal document",oru_ca1868jul20.xml,80444/xv90698,50,60,53,163
"Disque (Brice P.) papers",oru_coll115.xml,80444/xv69776,16,78,65,159
"Whiteley (Opal) Papers",oru_ax097.xml,80444/xv66355,47,40,66,153
"Worthington (Marjorie) papers",oru_coll152.xml,80444/xv04122,39,22,90,151
"Applegate (Oliver Cromwell) papers",oru_ax005.xml,80444/xv77642,47,36,64,147
"Woodard (William P.) papers",oru_coll153.xml,80444/xv82095,54,22,70,146
"Price (Margaret Evans) Papers",oru_ax735.xml,80444/xv25666,51,71,23,145
"Jane C. Grant papers",oru_coll041.xml,80444/xv91334,51,42,51,144
"Uchida (Yoshiko) Papers",oru_ax549.xml,80444/xv44125,40,41,62,143
"Moorhouse (Lee) photographs",oru_ph036.xml,80444/xv94299,38,50,53,141
"Ku Klux Klan Tillamook, Oregon Chapter No. 8 Records",oru_bx046.xml,80444/xv53018,38,55,48,141
"Davenport Family papers",oru_ax242.xml,80444/xv88243,51,42,48,141
"Seredy (Kate) Papers",oru_ax517.xml,80444/xv37289,33,33,74,140
"Fisher (Leonard Everett) Papers",oru_ax538.xml,80444/xv11292,36,44,60,140
"Kyne (Peter Bernard) Papers",oru_ax732.xml,80444/xv03086,46,44,48,138
"Cantwell (Robert) Papers",oru_coll020.xml,80444/xv41731,38,41,59,138
"Cosgrave (John O'Hara) Papers",oru_ax718.xml,80444/xv72176,44,63,30,137
"Breese (Edward Y.) papers",oru_coll136.xml,80444/xv25671,23,42,71,136
"Chase (Mary) Papers",oru_ax542.xml,80444/xv53706,40,58,37,135
"Circuit Riders, Inc. records",oru_bx167.xml,80444/xv69783,61,45,28,134
"Stevenson (Janet Marshall) Papers",oru_ax265.xml,80444/xv86534,46,47,40,133
