Title,Document Name,Ark Identifier,July,August,September,Total
"Ralph W. Barnes papers",owsmss016.xml,80444/xv94616,21,27,48,96
"Athletics Department records",owsmss056.xml,80444/xv48422,21,24,31,76
"John G. Burggraf collection",owsmss015.xml,80444/xv68374,22,18,26,66
"Charles E. Larsen Chemawa Indian School collection",owsmss068.xml,80444/xv50241,18,26,11,55
"The Kathleen Gemberling Adkison papers",owsmss053.xml,80444/xv02429,14,22,16,52
"Dorathy Bruce Farr papers",owsmss027.xml,80444/xv20855,4,6,33,43
"Michael J. Kopetski papers",owsmss003.xml,80444/xv39691,14,5,18,37
"Dale Whitney papers",owsmss017.xml,80444/xv66082,8,6,22,36
"Reuben P. Boise family papers",owsmss012.xml,80444/xv23416,14,6,5,25
"Bill Rhoades Northwest Art Archive",owsmss062.xml,80444/xv86422,10,7,8,25
"Germaine Louise Fuller papers",owsmss024.xml,80444/xv22521,10,10,5,25
"The Norma Paulus papers",owsmss031.xml,80444/xv29254,11,5,9,25
"Salem and Eastern Oregon photographs",owsmss050.xml,80444/xv40414,12,5,8,25
"Robert M. Gatke “Chronicles of Willamette” research collection",owsmss008.xml,80444/xv97491,10,5,9,24
"Chloe Clarke Willson journal",owsmss013.xml,80444/xv49545,6,12,5,23
"Rex Amos papers",owsmss070.xml,80444/xv15649,7,12,3,22
"The Vernor Martin Sackett negatives",owsmss044.xml,80444/xv57446,6,5,11,22
"Paul Wynne Journal Collection",owsmss074.xml,80444/xv25567,9,8,4,21
"Paulus Glass Plate Negatives collection",owsmss033.xml,80444/xv81204,6,1,13,20
"Carl Ritchie papers",owsmss080.xml,80444/xv60308,11,1,8,20
"The Constance Fowler collection",owsmss019.xml,80444/xv70745,5,9,5,19
"Myra Albert Wiggins papers",owsmss046.xml,80444/xv85650,11,5,3,19
"The Ruth Dennis Grover papers",owsmss052.xml,80444/xv58724,3,12,2,17
"Darlene Hooley papers",owsmss022.xml,80444/xv32614,6,5,6,17
"Roger Hull Research Files on Pacific Northwest Artists",owsmss065.xml,80444/xv10678,9,8,0,17
"Travis Cross papers",owsmss039.xml,80444/xv64257,8,4,4,16
"Ruth West collection on Charles Heaney",owsmss081.xml,80444/xv10684,2,6,7,15
"Viola Price Franklin letter collection",owsmss010.xml,80444/xv27267,4,4,6,14
"Bonnie and Roger Hull collection on Myra Albert Wiggins",owsmss063.xml,80444/xv85864,7,5,2,14
"Judith and Jan Zach papers",owsmss084.xml,80444/xv24670,5,2,7,14
"Burt Brown Barker papers",owsmss004.xml,80444/xv66028,3,6,5,14
"Atkinson Graduate School of Management records",owsmss040.xml,80444/xv96405,13,0,0,13
"Office of the President records",owsmss006.xml,80444/xv31487,5,5,3,13
"Virginia Furtwangler aka Ann Copeland papers",owsmss079.xml,80444/xv82519,6,5,2,13
"Robert C. Notson papers",owsmss001.xml,80444/xv73893,5,1,7,13
"Dennis A. “Denny” Smith papers",owsmss002.xml,80444/xv06863,5,4,3,12
"James H. Wilbur papers",owsmss030.xml,80444/xv66799,2,5,5,12
"Terry Melton papers",owsmss095.xml,80444/xv10101,4,3,4,11
"Willamette University Scrapbook collection",owsmss048.xml,80444/xv37957,3,3,5,11
"Office of Student Activities records",owsmss054.xml,80444/xv98455,2,0,9,11
"Walter R. May letter collection",owsmss011.xml,80444/xv80865,4,6,0,10
"Freshman Glee records",owsmss007.xml,80444/xv64315,6,4,0,10
"Alfred J. French collection",owsmss051.xml,80444/xv10775,7,1,2,10
"New Gallery of Contemporary Art scrapbook",owsmss072.xml,80444/xv35470,6,4,0,10
