Title,Document Name,Ark Identifier,July,August,September,Total
"Astoria Iron Works Records",tawms005.xml,80444/xv08331,25,7,5,37
"Children's Industrial Home Records",tawms087.xml,80444/xv98574,7,8,9,24
"Tacoma Land & Improvement Co. Records",tawms001.xml,80444/xv73913,6,5,5,16
"Snell (Bertha) Papers",tawms014.xml,80444/xv74295,2,4,6,12
"Welch (Eldred) Papers",tawms022.xml,80444/xv53948,12,0,0,12
"Ancient Order of Vikings, Ship Tacoma No. 1 Records",tawms061.xml,80444/xv68615,6,0,4,10
"Meyers (Paul) Railroads & Railroading Collection",tawms007.xml,80444/xv85919,1,1,5,7
"Gove (Royal) Papers",tawms026.xml,80444/xv04272,0,2,3,5
"Keator (Frederick W.) Papers",tawms011.xml,80444/xv29171,2,3,0,5
"Northwest Historical Northwest Menu Collection",tawms018.xml,80444/xv83432,1,0,2,3
"Orpheus Club of Tacoma Records",tawms027.xml,80444/xv95211,0,0,2,2
"Stafford (Helen) Papers",tawms080.xml,80444/xv05123,1,0,1,2
"Roberts (J.W.) Papers",tawms051.xml,80444/xv85140,0,1,1,2
"Tilley, Erna Spannagel",tawms028.xml,80444/xv43450,0,0,0,0
"Tacoma Centennial Committee Records",tawms015.xml,80444/xv18737,0,0,0,0
"Tacoma Lutheran Service Center Records",tawms017.xml,80444/xv93453,0,0,0,0
"National League for Woman’s Service Registration Forms for Pierce County",tawms049.xml,80444/xv36691,0,0,0,0
"Kaiser (John Boynton) Papers",tawms010.xml,80444/xv29455,0,0,0,0
"Andrews (Aubrey F.) Papers",tawms004.xml,80444/xv81091,0,0,0,0
"Anderson (Ada Woodruff) Papers",tawms003.xml,80444/xv32699,0,0,0,0
,,Totals,63,31,43,137
