Title,Document Name,Ark Identifier,July,August,September,Total
"Hill (Abby Williams) Collection",uppmss011.xml,80444/xv41784,41,66,73,180
"University of Puget Sound Faculty Oral History Project",uppmss044.xml,80444/xv71054,45,42,43,130
"Regester (John D.) Collection on Albert Schweitzer",uppmss018.xml,80444/xv38287,21,42,61,124
"Oregon Methodist Missions Papers",uppmss017.xml,80444/xv42352,13,11,42,66
"Northwestern Lumber Co. Photo Album",uppmss015.xml,80444/xv20834,25,15,21,61
"Canse (John M.) Pamphlet Collection",uppmss005.xml,80444/xv11605,5,21,26,52
"Slater (James R.) Papers",uppmss023.xml,80444/xv84896,10,29,10,49
"Gould (Benjamin A.) Collection",uppmss010.xml,80444/xv38848,12,17,15,44
"Edwards (Douglas R.) Papers",uppmss033.xml,80444/xv35134,10,14,19,43
"Bash (Albert W.) Papers",uppmss001.xml,80444/xv80584,18,4,16,38
"Callaway (T.H.) letter to James R. Callaway",uppmss028.xml,80444/xv44519,6,5,26,37
"Davis (Walter S.) Papers",uppmss009.xml,80444/xv86779,4,6,26,36
"Bone (Homer T.) Papers",uppmss003.xml,80444/xv37863,6,17,11,34
"Bills of Sale for the Purchase of Slaves",uppmss027.xml,80444/xv57635,10,5,19,34
"University of Puget Sound President's Office Records, 1888-1942",uppacc198330.xml,80444/xv48648,13,4,16,33
"Blaine (David E. and Catherine) Family Papers",uppmss002.xml,80444/xv65161,6,5,19,30
"Wood (Warren) Glass Negatives, Photographs and Appointment Notebooks",uppmss021.xml,80444/xv41134,9,4,16,29
"Brown (Henry) Papers",uppmss004.xml,80444/xv54074,5,4,19,28
"Dougharty (W. Houston) collection on the University of Puget Sound",uppmss043.xml,80444/xv86718,16,4,7,27
"Williston (Frank) Papers",uppmss020.xml,80444/xv57836,10,5,9,24
"Mongolian Missions Collection",uppmss014.xml,80444/xv45397,10,5,9,24
"Ostransky (Leroy) Papers",uppmss022.xml,80444/xv13647,6,2,15,23
"Shelmidine (Lyle S.) papers",uppmss019.xml,80444/xv43869,5,1,14,20
"Thompson (R. Franklin) Personal Papers",uppmss035.xml,80444/xv96246,6,6,7,19
"Murray Johnson collection on the Cape Thompson Environmental Impact Report",uppmss056.xml,80444/xv41326,6,3,9,18
"Methodist Missions Correspondence",uppmss016.xml,80444/xv94369,3,2,12,17
"Egge (Claire and Don) Collection on China",uppmss026.xml,80444/xv92553,12,0,3,15
"University of Puget Sound Alumni Office/Alumni Association Records",uppacc198315.xml,80444/xv32812,8,4,2,14
"Coffee (John) Papers",uppmss006.xml,80444/xv43133,4,4,6,14
"Hanawalt (Francis Wayland) Teaching Notebooks",uppmss029.xml,80444/xv48675,0,4,10,14
"Literary Managers and Dramaturgs of the Americas Records",uppmss047.xml,80444/xv87713,7,0,5,12
"Brown (Grafton Tyler) Lithographed Receipt",uppmss050.xml,80444/xv80444,1,4,6,11
"Civil Marriage Agreements",uppmss030.xml,80444/xv14291,0,0,11,11
"Robbins (Howard W.) diary",uppmss040.xml,80444/xv90747,3,1,7,11
"Coulter (Calvin Brewster) papers",uppmss045.xml,80444/xv65829,1,0,8,9
"Tacoma Community House: A Social Settlement",uppmss051.xml,80444/xv57931,4,1,4,9
"University of Puget Sound Faculty Senate and Committees Records",uppacc198328.xml,80444/xv54492,6,0,2,8
"Lilly (Stella) Papers",uppmss013.xml,80444/xv11938,1,3,3,7
"University of Puget Sound Ephemera",upprg13.xml,80444/xv13717,2,3,2,7
"National Association for the Advancement of Colored People (NAACP) Pamphlets",uppmss041.xml,80444/xv03646,3,1,2,6
"Brown & Haley Lecture Series",upprg0217.xml,80444/xv78619,5,0,0,5
"University of Puget Sound History Photograph Collection",uppmss024.xml,80444/xv86770,0,0,3,3
"University of Puget Sound President's Office Records",uppacc198305.xml,80444/xv03256,0,0,2,2
"University of Puget Sound Historical Materials and Miscellaneous Manuscripts",uppmss034.xml,80444/xv68023,0,0,2,2
"Selective Service Registration broadside",uppmss049.xml,80444/xv38406,0,0,2,2
"University of Puget Sound Scrapbook Collection",upprg1401.xml,80444/xv86907,1,0,0,1
"University of Puget Sound Board of Trustees Records",uppacc198322.xml,80444/xv45410,0,0,0,0
"Finney (John M.) Student Papers",uppmss025.xml,80444/xv38327,0,0,0,0
"University of Puget Sound, Office of the Dean of the University",uppacc198308.xml,80444/xv11062,0,0,0,0
"Magee Lecture Series",upprg0220.xml,80444/xv46697,0,0,0,0
,,Totals,379,364,640,1383
