Title,Document Name,Ark Identifier,July,August,September,Total
"University of Utah historical faculty files",uum_acc0526.xml,80444/xv51861,177,268,176,621
"Everett L. Cooley oral history project",uum_accn0814.xml,80444/xv48007,57,66,87,210
"John Willard and Alice Sheets Marriott papers",uum_ms0164.xml,80444/xv52987,73,55,68,196
"Wallace Earle Stegner papers",uum_ms0676.xml,80444/xv32055,58,53,73,184
"George Albert Smith Family photograph collection",uum_p0036.xml,80444/xv89669,63,75,43,181
"Joseph Ellis Johnson papers",uum_ms0110.xml,80444/xv99313,54,69,43,166
"Doris Duke oral history project",uum_ms0417.xml,80444/xv34603,34,62,66,162
"Hiram B. Clawson papers",uum_ms0040.xml,80444/xv59963,27,38,88,153
"Orrin Hatch papers",uum_accn0527.xml,80444/xv76876,33,58,61,152
"Ballet archives photograph collection",uum_p0247.xml,80444/xv73181,56,51,43,150
"Park City Mountain Resort audio-visual collection",uum_a0664.xml,80444/xv99234,53,40,56,149
"Mormon settlements in Arizona collection",uum_ms0034.xml,80444/xv44747,57,43,47,147
"James D. Wardle papers",uum_ms0578.xml,80444/xv51220,30,32,85,147
"Scott G. Kenney collection",uum_ms0587.xml,80444/xv20471,35,26,82,143
"Greek Archives photograph collection",uum_p0121.xml,80444/xv53781,46,58,38,142
"William Lee Stokes papers",uum_ms0675.xml,80444/xv24588,32,51,57,140
"Saving the Legacy oral history project",uum_accn2070.xml,80444/xv77258,36,63,35,134
"John Taylor family papers",uum_ms0050.xml,80444/xv26409,35,45,47,127
"Henry Chariton and Alberta Marie Larsen Jacobs papers",uum_accn2082.xml,80444/xv00216,42,61,21,124
"Herbert E. Gregory photograph collection",uum_p0013.xml,80444/xv18865,54,24,44,122
"Spanish-speaking peoples in Utah oral histories",uum_ms0096.xml,80444/xv23580,30,54,38,122
"Utah folklore collection",uum_ms0488.xml,80444/xv99243,45,47,29,121
"Tina Gonzales Garcia family video collection",uum_a0997.xml,80444/xv50473,33,67,19,119
"Preston Nutter Corporation records",uum_ms0289.xml,80444/xv81304,37,33,39,109
"Uranium mining oral history project",uum_accn1322.xml,80444/xv03439,36,32,41,109
"Salt Lake Tribune records",uum_accn2497.xml,80444/xv11221,31,36,42,109
"Alan K. Engen photograph collection",uum_p0413.xml,80444/xv31549,42,31,36,109
"H. Michael Marquardt papers",uum_accn0900.xml,80444/xv20324,29,37,41,107
"Fawn McKay Brodie papers",uum_ms0360.xml,80444/xv55810,27,35,42,104
"Salt Lake Organizing Committee for the Olympic Winter Games records",uum_accn1457.xml,80444/xv15530,24,34,45,103
"Doris Duke American Indian oral history project audio recordings",uum_a0001.xml,80444/xv82321,23,38,42,103
"John Mills Whitaker papers",uum_ms0002.xml,80444/xv46572,34,39,27,100
"Mervin B. Hogan papers",uum_ms0241.xml,80444/xv99462,28,26,45,99
"Dinwoodey Furniture Company photograph collection",uum_p0273.xml,80444/xv47314,34,32,31,97
"Everett Cooley photograph collection",uum_p0024.xml,80444/xv34817,96,0,1,97
"John Lowry Sr. and John Lowry Jr. biographies",uum_ms0306.xml,80444/xv45367,39,34,23,96
"Louise Degn broadcast journalism audio-visual collection",uum_a0747.xml,80444/xv16961,23,39,32,94
"Frank Herman Jonas collection",uum_ms0641.xml,80444/xv80920,30,38,25,93
"Madeline R. McQuown papers",uum_ms0143.xml,80444/xv81979,40,29,21,90
"Helen Zeese Papanikolas papers",uum_ms0471.xml,80444/xv64083,27,39,22,88
"Holy Cross Hospital records",uum_accn0588.xml,80444/xv02267,31,28,29,88
"Cooley Family photograph collection",uum_p0339.xml,80444/xv36508,32,42,13,87
"B. H. Roberts papers",uum_ms0106.xml,80444/xv66726,29,31,24,84
