Title,Document Name,Ark Identifier,April,May,June,Total
"Herald Journal Newspaper Photographs,",uus_p001.xml,80444/xv77938,387,380,357,1124
"Compton Photograph Studio Archive collection",uus_p0313.xml,80444/xv71670,315,300,334,949
"A-Board historical photograph collection",uus_aboardcoll.xml,80444/xv63613,334,281,294,909
"Ronald V. Jensen Living Historical Farm Photographs",uus_p0356.xml,80444/xv13534,293,265,148,706
"Cache County tax assessment photograph collection,",uus_p0012.xml,80444/xv09988,98,146,111,355
"Utah State University Buzzer Yearbook Photograph Collection (P0531)",uus_p0531.xml,80444/xv07794,117,116,120,353
"Utah State University undergraduate student fieldwork collection",uus_folkcoll008usu.xml,80444/xv86462,86,80,106,272
"Western states cowboy poetry collection",uus_folkcoll011f.xml,80444/xv45220,80,75,106,261
"Assorted Photograph Collections",uus_assortedpocoll.xml,80444/xv76242,76,89,88,253
"Jack and Charmian London correspondence and papers",uus_mss010.xml,80444/xv27206,56,114,61,231
"Outlook magazine photograph collection",uus_p0320.xml,80444/xv67926,51,88,90,229
"USU student folklore genre collection of speech",uus_folkcoll008a_3.xml,80444/xv01016,56,84,85,225
"USU Photographic Services Collection.",uus_p0376.xml,80444/xv00213,61,73,75,209
"Becker Brewing and Malting Company records",uus_cainemss031.xml,80444/xv52359,75,68,62,205
"Ada Morrell Family Scrapbook Collection,",uus_p0355.xml,80444/xv06253,49,78,72,199
"Newell Hart papers",uus_cainemss003.xml,80444/xv75030,42,89,62,193
"American Folklore Society records",uus_mss206.xml,80444/xv94586,44,36,105,185
"4-H Club photograph collection",uus_p0114.xml,80444/xv05398,49,66,68,183
"The High School Student Folklore Collection",uus_folkcoll055.xml,80444/xv59487,47,57,69,173
"Ellsworth family photograph collection,",uus_p0142.xml,80444/xv18179,56,52,61,169
"Walter Lehrman Beat Generation photograph collection",uus_p0577.xml,80444/xv95904,12,103,54,169
"Utah Statesman Photograph Collection",uus_p0395.xml,80444/xv99420,50,42,75,167
"Utah State University County Extension Agent Report Photograph Collection",uus_p0138.xml,80444/xv31335,54,73,40,167
"The National Cowboy Poetry Gathering collection",uus_folkcoll011g.xml,80444/xv27954,42,72,52,166
"Mormon diaries",uus_mss018.xml,80444/xv27203,54,65,46,165
"Intermountain Indian School photograph collection",uus_p0327.xml,80444/xv45184,65,55,38,158
"Teton Dam Disaster Oral History transcriptions and tapes",uus_mss058.xml,80444/xv11578,26,55,76,157
"Andrew L. Heggie and Corinne Godfrey Heggie photograph collection",uus_p0121.xml,80444/xv83343,37,74,45,156
"Claridge family photograph collection,",uus_p0143.xml,80444/xv27847,46,55,55,156
"Utah State University historical photo-board collection",uus_usupho1.xml,80444/xv76126,54,53,45,152
"Leonard J. Arrington Papers",uus_ljaha001.xml,80444/xv42800,49,18,85,152
"Utah State University. Faculty. Publications of the faculty",uus_8_8_37.xml,80444/xv51663,48,41,56,145
"C.E. Johnson photograph collection,",uus_p0011.xml,80444/xv91802,33,57,37,127
"Utah State University graduate student fieldwork collection",uus_folkcoll008grad.xml,80444/xv78375,36,48,41,125
"John Kenneth Cannon Photograph Collection",uus_p0382.xml,80444/xv34939,45,42,38,125
"Utah State University publicity portraits",uus_p0326.xml,80444/xv68896,41,51,32,124
"Edgar B. Brossard photograph collection",uus_p0111.xml,80444/xv32278,29,50,42,121
"The Crabtree Family Papers",uus_mss327.xml,80444/xv81130,34,40,46,120
"The Skaggs Foundation cowboy poetry collection : authors A-L",uus_folkcoll011_1.xml,80444/xv41781,34,38,48,120
"Frederick P. Champ papers",uus_mss050.xml,80444/xv11087,33,35,48,116
"Barre Toelken Fieldwork Image Collection",uus_folkcoll035a.xml,80444/xv44381,17,56,42,115
"San Francisco Punk Flyers collection",uus_mss523.xml,80444/xv17514,15,82,17,114
"Dee Smith Photograph Collection",uus_p0438.xml,80444/xv10403,38,29,44,111
"Swaner Family Oral History Project",uus_folkcoll0060.xml,80444/xv46444,0,65,45,110
"World War II veterans scrapbook",uus_mss183.xml,80444/xv35894,69,14,22,105
"C.R. Savage photograph collection",uus_p0038.xml,80444/xv85305,27,38,37,102
"S. George Ellsworth photograph collection",uus_p0025.xml,80444/xv10845,33,37,29,99
"Mormon immigrant portrait collection",uus_p0027.xml,80444/xv63992,34,34,29,97
"Gary Smith photograph collection",uus_p0106.xml,80444/xv43756,32,23,39,94
"The Francis Wilson Gunnell Family Record",uus_mss301.xml,80444/xv40670,22,30,39,91
"Living traditions of the Bear River Heritage Area survey",uus_folkcoll029.xml,80444/xv99685,26,36,27,89
"Utah Construction Company/Bowman photograph collection",uus_p0328.xml,80444/xv43917,30,38,21,89
"Utah State University Fife Folklore Conference student fieldwork collection",uus_folkcoll008ffc.xml,80444/xv70388,32,30,26,88
"Morrisite collection",uus_cainemss010.xml,80444/xv02597,24,26,38,88
"Agricultural College of Utah Cyanotypes,",uus_p0014.xml,80444/xv64944,18,31,35,84
"Crookston family papers",uus_mss071.xml,80444/xv03927,27,32,24,83
"Harry Reuben Reynolds photograph collection,",uus_p0004.xml,80444/xv61871,21,29,32,82
"Ridgway Family Papers",uus_cainemss008.xml,80444/xv13992,33,27,21,81
"World War II Rationing Stamps Program",uus_mss088.xml,80444/xv05780,31,29,19,79
"Topaz Internment Camp Documents",uus_mss170.xml,80444/xv89102,45,24,10,79
"Mormon Affidavits & Petitions Relating to the Missouri Persecutions",uus_cainemss019.xml,80444/xv20477,30,25,23,78
"J. Edward Decker papers",uus_mss210.xml,80444/xv47717,13,21,42,76
"Ranch Family Documentation Project",uus_folkcoll049.xml,80444/xv57559,18,31,25,74
"Lowry Nelson writings and papers",uus_mss017.xml,80444/xv58740,16,33,23,72
"The Fife Folklore Conference collection",uus_folkcoll031.xml,80444/xv88607,32,19,21,72
"The Skaggs Foundation cowboy poetry collection : authors M-Z,",uus_folkcoll011_2.xml,80444/xv27481,26,17,28,71
"Fife American Collection",uus_folkcoll004_2.xml,80444/xv14770,29,22,20,71
"Dr. William H. Hopkins Addendum Collection",uus_p0360.xml,80444/xv21139,12,42,16,70
"Brigham Young College records",uus_mss001.xml,80444/xv44787,7,38,25,70
"Daniel H. Wells Papers",uus_mss302.xml,80444/xv06524,25,25,19,69
"S. George Ellsworth papers",uus_mss228.xml,80444/xv97897,20,32,16,68
"Cache Valley Refugee Oral History Project",uus_folkcoll0058.xml,80444/xv67608,13,40,15,68
"Fife Mormon collection",uus_folkcoll004_1.xml,80444/xv34716,24,23,21,68
"Gary B. Hansen papers",uus_mss319.xml,80444/xv99734,12,26,28,66
"The Dolph Andrus photograph collection",uus_p0542.xml,80444/xv26892,8,42,16,66
"F. Ross Peterson Papers",uus_mss252.xml,80444/xv34832,11,30,24,65
"Joel E. Ricks Cache Valley history collection",uus_mss046.xml,80444/xv93618,10,33,20,63
"Peter Maughan papers",uus_mss037.xml,80444/xv93002,11,23,28,62
"Smithfield diaries",uus_mss034.xml,80444/xv24880,16,27,19,62
"Lundstrom Furniture Company records",uus_mss138.xml,80444/xv53833,21,25,16,62
"William Alexander Carter, account ledger",uus_mss168.xml,80444/xv36462,21,15,25,61
"Teton Dam disaster collection",uus_folkcoll027.xml,80444/xv94137,11,19,30,60
"USU student folklore genre collection of supernatural nonreligious legends",uus_folkcoll008a_7supernaturalnonreligious.xml,80444/xv63192,17,20,23,60
"Gary Smith Papers",uus_mss132.xml,80444/xv17303,22,20,17,59
"19th Century Western Stereo-views Collection",uus_p0349.xml,80444/xv28820,22,19,18,59
"William Neff Photograph Collection",uus_p0334.xml,80444/xv22091,27,22,10,59
"The Latino/Latina Voices Project",uus_folkcoll038.xml,80444/xv83200,18,22,19,59
"Whitney Smith photograph collection",uus_p0034.xml,80444/xv25277,22,20,16,58
"USU student folklore genre collection of tales and jokes",uus_folkcoll008a_4.xml,80444/xv83386,15,22,21,58
"Utah Wilderness Association records",uus_mss200.xml,80444/xv75259,37,13,7,57
"Postcard collection",uus_p0031.xml,80444/xv12420,9,24,24,57
"William Henry Jackson Hayden survey albertypes",uus_p0345.xml,80444/xv96304,16,14,27,57
"Mormons for ERA",uus_mss225.xml,80444/xv98071,22,20,15,57
"Retired originals collection",uus_p0329.xml,80444/xv34088,16,19,21,56
"Bullen Family Photographs,",uus_p0018.xml,80444/xv44619,23,22,11,56
"Utah Grazing Notes",uus_mss009.xml,80444/xv20513,25,18,12,55
"Helen Mar Kimball Whitney Papers",uus_mss179.xml,80444/xv92462,16,24,15,55
"Daryl Chase Photograph Collection",uus_p0131.xml,80444/xv01119,20,16,19,55
"Wheeler's geographical survey stereoscopic views",uus_p0325.xml,80444/xv05364,20,20,15,55
