Title,Document Name,Ark Identifier,July,August,September,Total
"Herald Journal Newspaper Photographs,",uus_p001.xml,80444/xv77938,465,549,521,1535
"A-Board historical photograph collection",uus_aboardcoll.xml,80444/xv63613,364,421,434,1219
"Compton Photograph Studio Archive collection",uus_p0313.xml,80444/xv71670,285,241,100,626
"Utah State University Buzzer Yearbook Photograph Collection (P0531)",uus_p0531.xml,80444/xv07794,181,212,145,538
"Assorted Photograph Collections",uus_assortedpocoll.xml,80444/xv76242,83,152,277,512
"USU student folklore genre collection of speech",uus_folkcoll008a_3.xml,80444/xv01016,131,112,163,406
"Utah State University undergraduate student fieldwork collection",uus_folkcoll008usu.xml,80444/xv86462,124,100,166,390
"Cache County tax assessment photograph collection,",uus_p0012.xml,80444/xv09988,124,119,104,347
"Claridge family photograph collection,",uus_p0143.xml,80444/xv27847,104,145,59,308
"USU Photographic Services Collection.",uus_p0376.xml,80444/xv00213,65,147,93,305
"James N. Holdaway Papers",uus_mss328.xml,80444/xv92337,7,258,7,272
"Pond Brothers Store papers",uus_mss107.xml,80444/xv11791,1,269,1,271
"Outlook magazine photograph collection",uus_p0320.xml,80444/xv67926,89,103,73,265
"4-H Club photograph collection",uus_p0114.xml,80444/xv05398,85,110,69,264
"Becker Brewing and Malting Company records",uus_cainemss031.xml,80444/xv52359,65,111,84,260
"Utah Statesman Photograph Collection",uus_p0395.xml,80444/xv99420,74,95,80,249
"Ada Morrell Family Scrapbook Collection,",uus_p0355.xml,80444/xv06253,64,103,78,245
"Newell Hart papers",uus_cainemss003.xml,80444/xv75030,77,108,55,240
"Floyd and Edith Morgan Papers",uus_mss222.xml,80444/xv88760,9,217,9,235
"The High School Student Folklore Collection",uus_folkcoll055.xml,80444/xv59487,57,77,99,233
"Mormon diaries",uus_mss018.xml,80444/xv27203,94,79,53,226
"The Logan Island Defense Committee Papers",uus_mss141.xml,80444/xv17340,8,213,0,221
"Edgar B. Brossard photograph collection",uus_p0111.xml,80444/xv32278,50,97,72,219
"Andrew L. Heggie and Corinne Godfrey Heggie photograph collection",uus_p0121.xml,80444/xv83343,63,107,48,218
"Crookston family papers",uus_mss071.xml,80444/xv03927,34,38,135,207
"Utah State University historical photo-board collection",uus_usupho1.xml,80444/xv76126,61,92,53,206
"Jack and Charmian London correspondence and papers",uus_mss010.xml,80444/xv27206,60,76,65,201
"The National Cowboy Poetry Gathering collection",uus_folkcoll011g.xml,80444/xv27954,66,76,58,200
"Utah State University County Extension Agent Report Photograph Collection",uus_p0138.xml,80444/xv31335,75,80,43,198
"Robert W. McDill papers",uus_mss121.xml,80444/xv17129,0,194,3,197
"Ellsworth family photograph collection,",uus_p0142.xml,80444/xv18179,65,66,57,188
"Edgar Bernard Brossard papers",uus_mss004.xml,80444/xv14538,7,26,148,181
"Utah State University publicity portraits",uus_p0326.xml,80444/xv68896,51,59,63,173
"American Folklore Society records",uus_mss206.xml,80444/xv94586,50,68,48,166
"Western states cowboy poetry collection",uus_folkcoll011f.xml,80444/xv45220,64,38,61,163
"John Suiter photography collection",uus_p0375.xml,80444/xv61560,46,60,56,162
"Peter Maughan papers",uus_mss037.xml,80444/xv93002,25,83,45,153
"Montpelier Historical Society archives",uus_mss197.xml,80444/xv95745,36,69,45,150
"The Francis Wilson Gunnell Family Record",uus_mss301.xml,80444/xv40670,58,58,30,146
"Utah State University. Faculty. Publications of the faculty",uus_8_8_37.xml,80444/xv51663,50,42,52,144
"USU student folklore genre collection of supernatural nonreligious legends",uus_folkcoll008a_7supernaturalnonreligious.xml,80444/xv63192,14,42,87,143
"USU student folklore genre collection of tales and jokes",uus_folkcoll008a_4.xml,80444/xv83386,35,43,64,142
"John Kenneth Cannon Photograph Collection",uus_p0382.xml,80444/xv34939,34,39,69,142
"Dee Smith Photograph Collection",uus_p0438.xml,80444/xv10403,38,58,31,127
"The Crabtree Family Papers",uus_mss327.xml,80444/xv81130,42,57,27,126
"Utah State University graduate student fieldwork collection",uus_folkcoll008grad.xml,80444/xv78375,53,36,36,125
"C.E. Johnson photograph collection,",uus_p0011.xml,80444/xv91802,36,46,42,124
"William Alexander and Mary E. Carter papers",uus_cainemss029.xml,80444/xv50091,23,67,33,123
"Intermountain Indian School photograph collection",uus_p0327.xml,80444/xv45184,32,50,41,123
"Ridgway Family Papers",uus_cainemss008.xml,80444/xv13992,29,56,34,119
"Fife American Collection",uus_folkcoll004_2.xml,80444/xv14770,42,35,36,113
"Utah Construction Company/Bowman photograph collection",uus_p0328.xml,80444/xv43917,17,69,23,109
"Gary Smith Papers",uus_mss132.xml,80444/xv17303,45,33,31,109
"Leonard J. Arrington Papers",uus_ljaha001.xml,80444/xv42800,39,30,40,109
"Frederick P. Champ papers",uus_mss050.xml,80444/xv11087,42,29,38,109
"Ronald V. Jensen Living Historical Farm Photographs",uus_p0356.xml,80444/xv13534,36,33,35,104
"The Skaggs Foundation cowboy poetry collection : authors A-L",uus_folkcoll011_1.xml,80444/xv41781,35,25,42,102
"Delmar Clive Tingey Photograph Collection,",uus_p0015.xml,80444/xv17352,0,66,35,101
"Mormon immigrant portrait collection",uus_p0027.xml,80444/xv63992,40,31,29,100
"J. Edward Decker papers",uus_mss210.xml,80444/xv47717,27,35,36,98
"Teton Dam Disaster Oral History transcriptions and tapes",uus_mss058.xml,80444/xv11578,41,24,32,97
"C.R. Savage photograph collection",uus_p0038.xml,80444/xv85305,26,40,31,97
"Mormon Affidavits & Petitions Relating to the Missouri Persecutions",uus_cainemss019.xml,80444/xv20477,32,30,34,96
"Fife Mormon collection",uus_folkcoll004_1.xml,80444/xv34716,34,34,26,94
"Utah State University Fife Folklore Conference student fieldwork collection",uus_folkcoll008ffc.xml,80444/xv70388,34,30,29,93
"Utah-Idaho Central Railroad Company, Wellsville Station Papers",uus_mss061.xml,80444/xv28366,0,61,30,91
"James Foster Scott Papers",uus_mss180.xml,80444/xv36776,34,29,28,91
"World War II Rationing Stamps Program",uus_mss088.xml,80444/xv05780,23,42,25,90
"Ariel Benson photograph collection.",uus_p0471.xml,80444/xv25061,33,36,20,89
"Knights of Phythias. Resolute Lodge No. 16 (Mercur, Utah) ledger",uus_cainemss025.xml,80444/xv18304,0,57,32,89
"Joel E. Ricks Cache Valley history collection",uus_mss046.xml,80444/xv93618,32,32,25,89
"Agricultural College of Utah Cyanotypes,",uus_p0014.xml,80444/xv64944,34,25,29,88
"College of Natural Resources photograph collection",uus_p0526.xml,80444/xv55532,1,55,31,87
"The Skaggs Foundation cowboy poetry collection : authors M-Z,",uus_folkcoll011_2.xml,80444/xv27481,29,23,35,87
"Daryl Chase Photograph Collection",uus_p0131.xml,80444/xv01119,35,32,20,87
"Charles Gilbert Wood Papers",uus_mss191.xml,80444/xv62713,36,37,13,86
"Ranch Family Documentation Project",uus_folkcoll049.xml,80444/xv57559,28,26,30,84
"Robert Rust photograph collection",uus_p0317.xml,80444/xv05786,23,37,24,84
"Smithfield diaries",uus_mss034.xml,80444/xv24880,29,32,23,84
"Walter Lehrman Beat Generation photograph collection",uus_p0577.xml,80444/xv95904,17,17,48,82
"Simmonds family photograph collection",uus_p0105.xml,80444/xv05914,16,46,19,81
"Brigham Young College photograph and memorabilia collection,",uus_p0008.xml,80444/xv65588,22,33,26,81
"William B. Preston Papers",uus_mss268.xml,80444/xv91189,22,37,22,81
"Retired originals collection",uus_p0329.xml,80444/xv34088,18,29,34,81
"Winslow Whitney Smith Papers",uus_mss247.xml,80444/xv95111,1,56,23,80
"Gary Smith photograph collection",uus_p0106.xml,80444/xv43756,21,43,16,80
"The Grouse Creek (Utah) Cultural Survey collection",uus_folkcoll021.xml,80444/xv88137,28,27,25,80
"Charles Potts papers",uus_mss486.xml,80444/xv37246,24,26,29,79
"Alfred Gordon Erickson Photograph Collection",uus_p0479.xml,80444/xv14440,32,27,19,78
"John Henry Humphrey Barker papers",uus_mss025.xml,80444/xv44860,20,47,10,77
"Whitney Smith photograph collection",uus_p0034.xml,80444/xv25277,17,36,24,77
"S. George Ellsworth photograph collection",uus_p0025.xml,80444/xv10845,29,27,21,77
"Soemu Toyoda Tribunal Transcripts",uus_mss195.xml,80444/xv58850,20,19,38,77
"Ann Nolan Clark drafts",uus_mss023.xml,80444/xv44924,16,36,24,76
"George Washington Thatcher family papers",uus_mss047.xml,80444/xv79324,30,8,38,76
"Barre Toelken Fieldwork Image Collection",uus_folkcoll035a.xml,80444/xv44381,21,21,33,75
"Gustav Lorenz Becker Photograph Collection",uus_p0361.xml,80444/xv44802,24,28,23,75
"Living traditions of the Bear River Heritage Area survey",uus_folkcoll029.xml,80444/xv99685,21,29,24,74
"Raymond C. Somers photograph collection",uus_p0324.xml,80444/xv34503,29,25,20,74
"First National Bank of Logan- Credit",uus_mss171.xml,80444/xv01889,2,49,23,74
"World War II veterans scrapbook",uus_mss183.xml,80444/xv35894,13,36,25,74
"19th Century Western Stereo-views Collection",uus_p0349.xml,80444/xv28820,23,20,30,73
"The Jensen Historical Farm Research Collection",uus_mss236.xml,80444/xv57568,30,30,12,72
"F. Ross Peterson Papers",uus_mss252.xml,80444/xv34832,20,24,27,71
"Mormons for ERA",uus_mss225.xml,80444/xv98071,20,23,27,70
"USU student folklore genre collection of belief",uus_folkcoll008a_2.xml,80444/xv36322,11,19,39,69
"Brigham Young College records",uus_mss001.xml,80444/xv44787,18,29,22,69
"Lowry Nelson writings and papers",uus_mss017.xml,80444/xv58740,27,29,12,68
