Title,Document Name,Ark Identifier,July,August,September,Total
"Historical Menu Collection",waumenuphcoll617.xml,80444/xv16082,635,668,717,2020
"Unknown",wauaflciowashingtonstatelaborcouncil0450.xml,80444/xv94338,166,123,715,1004
"Unknown",waumeanyedmonds0106.xml,80444/xv24644,179,189,428,796
"Unknown",waupnwscrapbooks5902.xml,80444/xv25836,429,157,192,778
"Adams (Brock) Papers",wauadamsbrock1096.xml,80444/xv30459,134,126,465,725
"Hamilton (Leslie) Collection of Seattle Photographs",wauhamiltoncollectionphcoll541.xml,80444/xv56787,76,88,539,703
"University of Washington President Records",wauuwresource00095.xml,80444/xv67050,71,82,446,599
"Unknown",waubullittdorothystimson5269.xml,80444/xv26691,169,134,284,587
"Ballinger (Richard Achilles) Papers",wauballingerricharda0015.xml,80444/xv17117,101,129,349,579
"Unknown",wauamericancivillibertiesunionofwashington1177.xml,80444/xv75164,95,156,302,553
"Unknown",wauua19_26_1693jacobsmelville.xml,80444/xv95437,131,132,263,526
"Unknown",wauburkethomas1483.xml,80444/xv77651,141,113,261,515
"Unknown",waubensonnaomiachenbach0204.xml,80444/xv64997,61,49,404,514
"Unknown",waujoneswesleylivsey0157.xml,80444/xv39005,142,113,198,453
"Poindexter (Miles) Papers",waupoindextermiles3828.xml,80444/xv57473,111,103,233,447
"Unknown",wauscandinavianamericansphcoll51.xml,80444/xv76957,129,163,148,440
"Cooper and Levy Families Photograph Collection",waucooperlevyphcoll722.xml,80444/xv68420,146,115,149,410
"University of Washington Board of Regents Records",wauuwresource00094.xml,80444/xv16885,47,49,301,397
"Henry Art Gallery Records",wauuwresource00328.xml,80444/xv23272,55,69,264,388
"Architecture Student Drawings from the University of Washington",wauuwarchitecturestudentdrawingsphcoll740.xml,80444/xv17657,104,128,142,374
"19th Century Actors Carte de Visite Collection",wau19thcenturyactorsphcoll75.xml,80444/xv10269,113,108,136,357
"Jackson (Henry M.) Papers",waujacksonhenry3560.xml,80444/xv91324,105,167,75,347
"Unknown",wauua19_26_0614gunthererna.xml,80444/xv16091,96,95,149,340
