Title,Document Name,Ark Identifier,July,August,September,Total
"Blonk (Hubert) Papers",wea_spc0060628.xml,80444/xv74981,3,9,5,17
"Expo '74 Folklife Festival Records",weaspc9740020.xml,80444/xv18206,3,6,4,13
"Independent Order of Odd Fellows, Cheney Lodge no. 21 (Cheney, Wash.) Records",wea_spc9920355.xml,80444/xv34234,0,8,4,12
"<?xm-replace_text {Filing title of collection, eg. Adams (Glen R.) Papers; required}?>Gess (Inez) Collection",wea_spc0160729.xml,80444/xv02987,0,12,0,12
"Washington Water Power Company Records",weaspc9720006.xml,80444/xv44732,3,6,3,12
"Evans (Thomas) Letters and Diary",wea_spc9720007.xml,80444/xv23037,9,0,2,11
"Mosby (Beverly Clarke) Papers",wea_spc9720005.xml,80444/xv34078,4,5,1,10
"Lotzenhiser (George W. ) Papers",wea_spc9770038.xml,80444/xv46301,8,2,0,10
"Wylie (E. Burke) Papers",wea_spc9760031.xml,80444/xv76214,0,4,5,9
"Faw Family Papers",wea_spc9760029.xml,80444/xv53399,5,1,3,9
"Trulove (William Thomas) Papers",wea_spc9940362.xml,80444/xv61422,2,3,3,8
"Beaty (Donald) Collection",wea_spc9820165.xml,80444/xv11401,4,0,3,7
"Kalez (Jay J.) Papers",wea_spc9740012.xml,80444/xv21255,2,2,3,7
"Coons, Shotwell, Clark and Associates Expo '74 Records",weaspc9780064.xml,80444/xv59188,3,3,0,6
"Ritzville Federated Women's Club Records",wea_spc9990503.xml,80444/xv79714,0,6,0,6
"Ninety-Nines Intermountain Chapter Records",wea_spc9840221.xml,80444/xv14944,0,3,3,6
"Lucas (Voe) Papers",wea_spc9800016.xml,80444/xv05764,0,0,6,6
"Washington Brick and Lime Company Minute Books",wea_spc9720002.xml,80444/xv88510,0,4,2,6
"Barnes (Donald M.) Collection",wea_spc9950387.xml,80444/xv63235,2,4,0,6
"U.S. Army Ft. Colville Papers",wea_spc9980492.xml,80444/xv21542,0,6,0,6
"Pearce (George H.) Papers",wea_spc9770041.xml,80444/xv89111,0,5,0,5
"Cole (King) Papers",wea_spc9980487.xml,80444/xv96264,5,0,0,5
"<?xm-replace_text {Filing title of collection, eg. Adams (Glen R.) Papers; required}?>Inland Automobile Association Records<?xm-replace_text {Collection title; required}?>",wea_spc9740011.xml,80444/xv11444,0,4,1,5
