Title,Document Name,Ark Identifier,July,August,September,Total
"Straub (Robert W.) Collection",wosmss1.xml,80444/xv57019,58,60,97,215
"Butler Family Papers",wosmss2.xml,80444/xv73715,17,42,50,109
"Cassie Stump and Mary Stump Campbell family papers",wosmss4.xml,80444/xv74386,4,8,13,25
"Dr. Richard Davis Theatre Collection",wosmss10.xml,80444/xv03973,16,1,2,19
"Janet McLennan Collection",wosmss11.xml,80444/xv02349,2,10,1,13
"Robert W. Straub Oral History Project",wosmss23.xml,80444/xv99624,2,6,4,12
"Agnes M. Anderson collection",wosmss5.xml,80444/xv90133,2,7,2,11
"Japanese-American Relocation Center Newsletters",wosmss16.xml,80444/xv56472,0,3,8,11
"Dr. Gary Huxford Collection",wosmss15.xml,80444/xv89260,3,4,2,9
"Elva Susan Baker collection",wosmss20.xml,80444/xv81079,8,1,0,9
"Burch Family Papers",wosmss3.xml,80444/xv77441,1,3,3,7
"Daniel L. Goldy Papers",wosmss13.xml,80444/xv28369,2,3,1,6
"Oregon State Normal School Herbarium Collection",wosmss8.xml,80444/xv36297,5,0,0,5
"Ruth Nelson Gabriel collection",wosmss26.xml,80444/xv62615,2,1,2,5
"Howell House Collection",wosmss9.xml,80444/xv58090,1,3,0,4
"L.A. Robinson Collection",wosmss7.xml,80444/xv88821,4,0,0,4
"Oregon Normal School and Oregon College of Education scrapbook",wosmss38.xml,80444/xv44436,0,0,3,3
"Martha Hill scrapbook",wosmss39.xml,80444/xv53652,0,0,3,3
"Violet Denny scrapbook",wosmss34.xml,80444/xv99755,0,1,1,2
"Oregon State Normal School Lantern Slides Collection",wosmss17.xml,80444/xv57727,1,1,0,2
"Ellis Stebbins Collection",wosmss14.xml,80444/xv24084,2,0,0,2
"Don Weiss Collection",wosmss21.xml,80444/xv33499,1,0,0,1
"Willamette Valley Migrant Families Scrapbook",wosmss6.xml,80444/xv20016,1,0,0,1
"Merle Rogers Herbarium",wosmss40.xml,80444/xv63827,0,0,1,1
"Oregon Registry of Interpreters for the Deaf records",wosmss31.xml,80444/xv87075,0,0,0,0
,,Totals,132,154,193,479
