Title,Document Name,Ark Identifier,July,August,September,Total
"Ott (Margaret Saunders) Papers",wtvn3o.xml,80444/xv28015,27,27,26,80
"Moldenhauer (Hans) Music Collection",wtv119.xml,80444/xv93725,30,21,18,69
"Fourth Memorial Church (Spokane, WA) Records",wtv78.xml,80444/xv18824,23,20,15,58
"Hovey (E. Paul) Papers",wtv114.xml,80444/xv71153,18,18,21,57
"Recognitions and Honorary Degrees Records",wtv97.xml,80444/xv42078,10,6,33,49
"Alumni Bulletins and Publications",wtv50.xml,80444/xv00353,17,18,4,39
"Warren (Frank F.) Papers",wtv34.xml,80444/xv04106,12,9,17,38
"Nez Perce Presbyterian Churches (Kamiah, Idaho) Records",wtv12.xml,80444/xv16760,19,5,12,36
"Calvary Baptist Church (Spokane, Wash.) Records",wtv27.xml,80444/xv41726,15,7,11,33
"Whitworth College Forum and Related Files",wtvgcb62f.xml,80444/xv57814,18,4,10,32
"Manito Presbyterian Church Records",wtv38.xml,80444/xv35228,13,8,10,31
"Highland Park United Methodist Church (Spokane, Wash.) Records",wtv26.xml,80444/xv08895,9,9,8,26
"Athletic Department Records",wtv51.xml,80444/xv33185,8,6,10,24
"Academic Programs: English Language Program Records",wtv45.xml,80444/xv36265,13,3,7,23
"Whitworth Community Presbyterian Church",wtv39.xml,80444/xv68402,6,5,10,21
"Whitworth College Elderhostel Program Records",wtv22.xml,80444/xv77978,6,5,10,21
"Student Organizations Records",wtv101.xml,80444/xv73542,18,0,3,21
"Pine Lake Presbyterian Church (Issaquah, Wash.) Records",wtv25.xml,80444/xv76268,6,9,6,21
"Academic Affairs: Committees and Task Forces Records",wtv42.xml,80444/xv37973,0,3,17,20
"Hazel Todd Papers",wtv80.xml,80444/xv84488,11,5,4,20
"Whitworth College Student Publications Records",wtv28.xml,80444/xv74558,12,0,6,18
"Mounce (Robert H.) Papers",wtv36.xml,80444/xv69770,15,1,2,18
"Whitworth University Artifacts Collection",wtvz1.xml,80444/xv91760,3,1,14,18
"Dale E. Soden Papers",wtv73.xml,80444/xv55075,7,6,2,15
"Rodney R. Romney Papers",wtv98.xml,80444/xv74910,8,5,2,15
"Laurelhurst Presbyterian Church (Seattle, Wash.) Records",wtv10.xml,80444/xv51302,8,4,3,15
"Whitworth (George F.) Papers",wtv6.xml,80444/xv99524,4,5,5,14
"College Catalogs",wtv64.xml,80444/xv59863,12,0,1,13
"Spokane Friends Church (Spokane, Wash.) Records",wtv35.xml,80444/xv36938,8,5,0,13
"Academic Programs: Core/Worldview Studies Records",wtv44.xml,80444/xv03431,8,1,4,13
"Hamblen Park Presbyterian Church (Spokane, Wash.) Oral History Records",wtvhpoh.xml,80444/xv89254,12,1,0,13
"Oakland Presbyterian Church (Tacoma, WA) Records",wtv86.xml,80444/xv81409,6,1,5,12
"First Presbyterian Church (Spokane, WA) Records",wtv77.xml,80444/xv86195,6,2,4,12
"Whitworth College Chapel Hour Records",wtvgcb62ch.xml,80444/xv59181,6,3,3,12
"Whitworth Institute of Ministry (Spokane, Washington) Records",wtvgcb62i.xml,80444/xv23271,2,7,2,11
"De John (Arthur D.) Papers",wtv2.xml,80444/xv79346,6,2,2,10
"Charles F. Koehler Papers",wtv56.xml,80444/xv97481,4,3,3,10
"Japanese American Alumni during WWII Records",wtv81.xml,80444/xv17112,2,4,4,10
"Archer (Lewis A.) Papers",wtvn3ar.xml,80444/xv25564,0,5,5,10
"Westminster Presbyterian Church (Spokane, Wash.) Records",wtv40.xml,80444/xv33860,5,3,2,10
"Sumner Presbyterian Church (Sumner, Wash.) Records",wtv32.xml,80444/xv38648,6,0,4,10
"Community Presbyterian Church (Post Falls, ID) Records",wtv67.xml,80444/xv58151,3,0,6,9
"Munn (Merton D.) Papers",wtv16.xml,80444/xv48224,5,3,1,9
"First Presbyterian Church (Seattle, WA) Records",wtv76.xml,80444/xv53363,3,4,2,9
"Academic Programs: Master of International Management Records",wtv46.xml,80444/xv69437,0,6,3,9
"Toledo Community Presbyterian Church (Toledo, WA) Records",wtv103.xml,80444/xv38999,5,4,0,9
"Mary Boppell Johnston Papers",wtv55.xml,80444/xv64649,9,0,0,9
"Presbyterian Church (USA) Records",wtv93.xml,80444/xv10957,1,2,6,9
"Whitworth Today Records",wtvb8wt.xml,80444/xv00070,0,0,9,9
"Endowments and Gifts Records",wtv70.xml,80444/xv56442,1,2,6,9
"Grieve (Dr. Robert C. and Claire McClenney) Papers",wtvgcj15gr.xml,80444/xv88935,2,1,5,8
"Academic Programs: Music Department",wtvd10.xml,80444/xv61376,0,0,8,8
"Knox Presbyterian Church (Spokane, Wash.) Records",wtv33.xml,80444/xv71480,2,5,1,8
"Gray (Nicolin J. Plank) Papers",wtv115.xml,80444/xv72178,0,0,8,8
