Title,Document Name,Ark Identifier,July,August,September,Total
"Collection of Aerial Photographs",xoe_cpnws0318aerialphotos.xml,80444/xv13894,178,161,159,498
"Alaska Packers Association records",xoe_cpnws0026apa.xml,80444/xv77299,115,98,172,385
"Pacific American Fisheries Records",xoe_cpnws0021paf.xml,80444/xv45835,90,84,97,271
"Center for Pacific Northwest Studies pamphlet collection",xoe_cpnws0042pamphlet.xml,80444/xv43107,45,65,60,170
"KVOS Channel 12 Film Records",xoe_cpnws0030kvos.xml,80444/xv75590,47,52,70,169
"Northwest Tribal Oral History interviews",xoe_cpnws0067nwtribal.xml,80444/xv03778,46,53,65,164
"Hovde (Jane Hamilton and Annis Jorgen (A.J.)) Papers",xoe_cpnws0016hovde.xml,80444/xv14714,48,68,47,163
"Biery (Galen) Papers and Photographs",xoe_cpnws0027biery.xml,80444/xv09926,38,55,63,156
"Western Washington University Centennial Oral History Project Records",xoe_cpnws0075wwuoralhist.xml,80444/xv66705,67,40,44,151
"Mason (David T. ) Papers",xoe_cpnws0045mason.xml,80444/xv13691,40,56,36,132
"Stimpson Family papers",xoe_cpnws0191stimpson.xml,80444/xv70469,38,49,34,121
"Wells (Oliver) oral history interviews",xoe_cpnws0258wells.xml,80444/xv17288,29,60,26,115
"Northwest Ethnohistory collection",xoe_cpnws0039nwethnohistory.xml,80444/xv99881,31,32,50,113
"Garlick family (George and Lois) papers",xoe_cpnws0137garlick.xml,80444/xv09592,37,49,24,110
"Funk (Wally V.) photographs and papers",xoe_cpnws0041funk.xml,80444/xv37969,36,32,35,103
"Nora Hastie (Year of Birth: 1877) interviewed by: unknown",xoe_cpnws0235skagitohp.xml,80444/xv18371,21,40,40,101
"Higginson (Ella) Papers",xoe_cpnws0007higginson.xml,80444/xv19502,13,36,48,97
"Press Clippings",xoe_cpnws0029swift.xml,80444/xv67051,17,36,42,95
"Unknown",xoe_cpnws0044bcohp.xml,80444/xv00349,22,30,41,93
"Puget Sound Power and Light Company records",xoe_cpnws0004puget.xml,80444/xv03427,28,28,36,92
"Buswell (Howard E.) papers and photographs",xoe_cpnws0017buswell.xml,80444/xv47545,23,22,37,82
"Patterson, Margaret and Rev. J. W. Patterson papers",xoe_cpnws0069patterson.xml,80444/xv52683,25,36,21,82
"Royal Development Company (Trinity Mine) Records",xoe_cpnws0019royaldev.xml,80444/xv36261,20,46,14,80
"Wahl (Ralph E.) Photographs and Papers",xoe_cpnws0024wahl.xml,80444/xv44126,16,31,32,79
"Gay and Lesbian Miscellaneous Manuscript Collection",xoe_cpnws0136glbtmiscman.xml,80444/xv14038,16,30,31,77
"Ashworth, Robert collection on the Union of Sexual Minorities Center of Western Washington University",xoe_cpnws0081ashworth.xml,80444/xv19512,14,38,24,76
"Larrabee family papers",xoe_cpnws0018larrabee.xml,80444/xv80378,24,35,17,76
"Washington Women's Heritage Project Records",xoe_cpnws0025wwhp.xml,80444/xv69091,14,24,36,74
"Burn (June and Farrar) Papers",xoe_cpnws0005burn.xml,80444/xv54045,17,27,29,73
"Unknown",xoe_cpnws0015jeffcott.xml,80444/xv82087,20,24,25,69
"Permanente Cement Company - Bellingham Cement Plant images",xoe_cpnws0329permanente.xml,80444/xv67556,21,30,16,67
"Aberdeen Daily World, The",xoe_cpnws0109cpnwsnewspapercollection.xml,80444/xv05310,10,26,31,67
"Lithographs and Charts of George Vancouver's Expeditions",xoe_cpnws0105bullitt.xml,80444/xv95776,12,29,25,66
"Whatcom Falls Mill Co. Records, George W. Loggie Papers",xoe_cpnws0009wfallsmill.xml,80444/xv85165,13,33,16,62
"Waterfront Oral History Project records",xoe_cpnws0283waterfront.xml,80444/xv47557,13,20,28,61
"Metcalf (Jack) Papers",xoe_cpnws0043metcalf.xml,80444/xv67725,9,24,26,59
"Cole (Robert J.) collection of Lone Jack Mine records",xoe_cpnws0322lonejack.xml,80444/xv99584,22,17,20,59
"Thompson family papers",xoe_cpnws0244thompson.xml,80444/xv95778,13,21,21,55
"Whatcom County Nuclear Arms Freeze records",xoe_cpnws0106whatnukefreeze.xml,80444/xv82441,7,25,22,54
"Georgia-Pacific Corporation, Bellingham Division records",xoe_cpnws0157gp.xml,80444/xv13366,22,16,15,53
"Center for Pacific Northwest Studies Miscellaneous Manuscripts collection",xoe_cpnws0054miscmans.xml,80444/xv15399,11,24,17,52
"Women in the Commercial Fishing Industry Research Collection",xoe_cpnws0133womeninfishing.xml,80444/xv25667,12,21,19,52
"Whatcom County School annuals",xoe_cpnws0271wcsa.xml,80444/xv78336,22,13,16,51
"Olsen (Vic & Mae) Civilian Conservation Corps Collection",xoe_cpnws0003olsen.xml,80444/xv20869,10,19,20,49
"Whatcom County Woman's Christian Temperance Union Records",xoe_cpnws0059wctu.xml,80444/xv46523,20,9,19,48
"Unknown",xoe_cpnws0011rjones.xml,80444/xv50623,18,14,16,48
"Unknown",xoe_cpnws0013bpublishingco.xml,80444/xv16081,20,11,17,48
"Cuthill (John McFarlane)",xoe_cpnws0122johnmcfarlanecuthill.xml,80444/xv15942,16,17,14,47
"Bellingham Bay Improvement Co. Records",xoe_cpnws0002bbic.xml,80444/xv88244,12,15,20,47
"Barrett (Eldon) Papers",xoe_cpnws305barrett.xml,80444/xv65078,5,15,27,47
"Whatcom County Homemade Music Society oral histories",xoe_cpnws0301wchms.xml,80444/xv98605,11,17,18,46
"Morse Hardware Company records",xoe_cpnws0020morsehardware.xml,80444/xv13003,10,18,18,46
"Montgomery (Elizabeth Rider) Papers",xoe_sc0001erm.xml,80444/xv31433,14,23,8,45
"Unknown",xoe_cpnws0014druzea.xml,80444/xv49257,14,14,16,44
"Donovan (J.J.) photographs",xoe_cpnws0127jjdonovanphotographs.xml,80444/xv24462,5,19,20,44
"Hovander Family and Park Papers",xoe_cpnws0022hovander.xml,80444/xv78668,13,15,15,43
"Stimpson (Edward W.) Papers",xoe_cpnws0311stimpsonew.xml,80444/xv77746,14,14,15,43
"Völkerkundliche Arbeitsgemeinschaft collection on Native Americans",xoe_cpnws0251volkarbeit.xml,80444/xv08871,6,14,21,41
